tracking,quoted,applicable
D420352470001752666001,61.80,61.80
1ZV56D26DK27263612,108.66,108.66
D556276790000029076001,71.08,71.08
520331991965,38.74,38.74
D420352470001835662001,39.52,0.00
D420352470001836227001,39.52,39.52
D556276790000032996001,89.12,89.12
D420352470001836731001,118.72,118.72
1ZV56D26DK07619589,160.80,160.80
1ZV56D26DK36986995,166.00,166.00
D556276790000035134001,66.05,66.05
1ZV56D26DK12089222,144.45,144.45
1ZV56D26DK00652359,144.74,144.74
1ZV56D26DK22305246,128.23,128.23
D420352470001907597001,125.76,125.76
1ZV56D26DK06672193,141.33,141.33
1ZV56D26DK37674810,128.49,128.49
1ZV56D26DK38341918,138.09,138.09
1ZV56D26DK10390006,138.09,138.09
1ZV56D26DK34720248,166.68,166.68
1ZV56D26DK37979134,128.49,128.49
1ZV56D26DK37424349,166.68,166.68
1ZV56D26DK37984360,123.90,123.90
1ZV56D26DK01309291,141.33,141.33
1ZV56D26DK36337632,128.49,128.49
1ZV56D26DK09789697,138.09,138.09
1ZV56D26DK26329419,128.66,128.66
D556276790000041560001,95.91,95.91
D556276790000042110001,95.91,95.91
1ZV56D26DK34315829,144.69,144.69
D556276790000042526001,132.95,132.95
1ZV56D26DK21357951,135.34,135.34
D420352470001982720001,39.32,39.32
D420352470001987399001,40.67,40.67
1ZV56D262028313910,17.74,17.74
D420352470001907601001,67.90,90.37
1ZV56D26DK14619146,164.08,164.08
D556276790000050341001,95.91,95.91
D420352470002041843001,52.07,52.07
1ZV56D26DK11403428,133.92,133.92
1ZV56D26DK14798686,151.18,151.18
D420352470001790865001,55.29,78.50
1ZV56D26DK27199513,173.75,173.75
1ZV56D26DK29721088,173.75,173.75
1ZV56D26DK05649023,129.14,129.14
1ZV56D26DK16952184,39.14,0.00
D420352470002068424001,79.47,79.47
D420352470002068541001,58.26,58.26
P37735106,57.22,57.22
1ZV56D26DK28454217,165.06,165.06
1ZV56D26DK23565348,147.02,147.02
1ZV56D26DK34873208,164.74,164.74
D420352470002085661001,75.33,75.33
D420352470002085682001,75.33,75.33
D420352470002085685001,75.33,75.33
1ZV56D26DK08381913,173.40,173.40
D420352470002097239001,62.25,62.25
D420352470002097303001,65.19,65.19
D420352470002097396001,58.00,58.00
D420352470002097455001,76.15,76.15
1ZV56D26DK06071912,147.02,147.02
1ZV56D26DK01600144,173.40,173.40
1ZV56D26DK27324976,173.40,173.40
380792884537,274.24,0.00
D420352470001966966001,131.17,164.09
1ZV56D26DK15268701,172.70,172.70
1ZV56D26DK37612056,176.55,176.55
P39592744,55.69,55.69
D420352470002114866001,81.57,0.00
1ZV56D26DK24132858,143.08,143.08
1ZV56D26DK08527015,164.08,0.00
D420352470002120529001,73.67,73.67
D420352470002125876001,71.06,71.06
1ZV56D26DK01027425,195.44,195.44
D420352470002152685001,94.67,94.67
D420352470002152690001,77.31,77.31
1ZV56D26DK25313599,138.26,145.85
D420352470002068479001,79.47,105.54
1ZV56D266821266216,34.06,45.54
D420352470002076738001,91.86,121.43
1ZV56D26DK23942494,141.51,149.44
1ZV56D26DK18155292,132.37,139.80
D420352470002076809001,75.49,104.94
1ZV56D266807745216,34.06,45.54
1ZV56D266825626892,39.76,51.24
1ZV56D26DK34362984,140.75,143.72
